path,filename,subject,quality,view,split,width,height,fps,nb_frames,duration_s,size_bytes,readable,error
push_up/good/front/subject_020_push_up_good_front.mp4,subject_020_push_up_good_front.mp4,020,good,front,train,810,1440,15.0,271,18.067,2100140,True,
push_up/good/front/subject_021_push_up_good_front.mp4,subject_021_push_up_good_front.mp4,021,good,front,train,810,1440,15.0,246,16.4,2256945,True,
push_up/good/front/subject_022_push_up_good_front.mp4,subject_022_push_up_good_front.mp4,022,good,front,train,810,1440,15.0,280,18.667,1994379,True,
push_up/good/front/subject_023_push_up_good_front.mp4,subject_023_push_up_good_front.mp4,023,good,front,test,540,960,15.0,250,16.667,758619,True,
push_up/good/front/subject_024_push_up_good_front.mp4,subject_024_push_up_good_front.mp4,024,good,front,test,1620,2880,15.0,264,17.6,5286625,True,
push_up/good/side/subject_001_push_up_good_side.mp4,subject_001_push_up_good_side.mp4,001,good,side,train,1440,810,15.0,434,28.933,4128404,True,
push_up/good/side/subject_002_push_up_good_side.mp4,subject_002_push_up_good_side.mp4,002,good,side,train,1440,810,15.0,468,31.2,5015729,True,
push_up/good/side/subject_003_push_up_good_side.mp4,subject_003_push_up_good_side.mp4,003,good,side,validation,1440,810,15.0,450,30.0,5753552,True,
push_up/good/side/subject_004_push_up_good_side.mp4,subject_004_push_up_good_side.mp4,004,good,side,train,1440,810,15.0,306,20.4,3882712,True,
push_up/good/side/subject_005_push_up_good_side.mp4,subject_005_push_up_good_side.mp4,005,good,side,train,1440,810,15.0,292,19.467,3140700,True,
push_up/good/side/subject_006_push_up_good_side.mp4,subject_006_push_up_good_side.mp4,006,good,side,train,1440,810,15.0,328,21.867,3451318,True,
push_up/good/side/subject_007_push_up_good_side.mp4,subject_007_push_up_good_side.mp4,007,good,side,validation,1440,810,15.0,376,25.067,5568630,True,
push_up/good/side/subject_008_push_up_good_side.mp4,subject_008_push_up_good_side.mp4,008,good,side,train,1440,810,15.0,295,19.667,2730011,True,
push_up/good/side/subject_009_push_up_good_side.mp4,subject_009_push_up_good_side.mp4,009,good,side,train,1440,810,15.0,234,15.6,2763533,True,
push_up/good/side/subject_010_push_up_good_side.mp4,subject_010_push_up_good_side.mp4,010,good,side,test,1440,810,15.0,468,31.2,4150984,True,
push_up/good/side/subject_011_push_up_good_side.mp4,subject_011_push_up_good_side.mp4,011,good,side,train,960,540,15.0,184,12.267,612178,True,
push_up/good/side/subject_012_push_up_good_side.mp4,subject_012_push_up_good_side.mp4,012,good,side,train,960,540,15.0,352,23.467,2433424,True,
push_up/good/side/subject_013_push_up_good_side.mp4,subject_013_push_up_good_side.mp4,013,good,side,train,1440,810,15.0,468,31.2,4150984,True,
push_up/good/side/subject_014_push_up_good_side.mp4,subject_014_push_up_good_side.mp4,014,good,side,validation,1440,810,15.0,330,22.0,5019800,True,
push_up/good/side/subject_015_push_up_good_side.mp4,subject_015_push_up_good_side.mp4,015,good,side,train,1440,810,15.0,460,30.667,6229330,True,
push_up/good/side/subject_016_push_up_good_side.mp4,subject_016_push_up_good_side.mp4,016,good,side,test,1440,810,15.0,382,25.467,5382239,True,
push_up/good/side/subject_017_push_up_good_side.mp4,subject_017_push_up_good_side.mp4,017,good,side,train,358,636,15.0,158,10.533,285945,True,
push_up/good/side/subject_018_push_up_good_side.mp4,subject_018_push_up_good_side.mp4,018,good,side,train,810,1440,15.0,249,16.6,1790664,True,
push_up/good/side/subject_019_push_up_good_side.mp4,subject_019_push_up_good_side.mp4,019,good,side,validation,810,1440,15.0,96,6.4,790971,True,
push_up/good/side/subject_020_push_up_good_side.mp4,subject_020_push_up_good_side.mp4,020,good,side,train,1440,810,15.0,266,17.733,3907204,True,
push_up/good/side/subject_021_push_up_good_side.mp4,subject_021_push_up_good_side.mp4,021,good,side,train,1440,810,15.0,231,15.4,2473450,True,
push_up/good/side/subject_022_push_up_good_side.mp4,subject_022_push_up_good_side.mp4,022,good,side,train,1440,810,15.0,274,18.267,4049397,True,
push_up/good/side/subject_023_push_up_good_side.mp4,subject_023_push_up_good_side.mp4,023,good,side,test,636,360,15.0,290,19.333,512403,True,
push_up/good/side/subject_024_push_up_good_side.mp4,subject_024_push_up_good_side.mp4,024,good,side,test,636,360,15.0,290,19.333,545838,True,
push_up/good/diagonal/subject_001_push_up_good_diagonal.mp4,subject_001_push_up_good_diagonal.mp4,001,good,diagonal,train,1440,810,15.0,526,35.067,6748388,True,
push_up/good/diagonal/subject_002_push_up_good_diagonal.mp4,subject_002_push_up_good_diagonal.mp4,002,good,diagonal,train,1440,810,15.0,476,31.733,4858524,True,
push_up/good/diagonal/subject_003_push_up_good_diagonal.mp4,subject_003_push_up_good_diagonal.mp4,003,good,diagonal,validation,624,348,15.0,467,31.133,751327,True,
push_up/good/diagonal/subject_004_push_up_good_diagonal.mp4,subject_004_push_up_good_diagonal.mp4,004,good,diagonal,train,810,1440,15.0,307,20.467,2668496,True,
push_up/good/diagonal/subject_005_push_up_good_diagonal.mp4,subject_005_push_up_good_diagonal.mp4,005,good,diagonal,train,810,1440,15.0,292,19.467,3417074,True,
push_up/good/diagonal/subject_006_push_up_good_diagonal.mp4,subject_006_push_up_good_diagonal.mp4,006,good,diagonal,train,810,1440,15.0,316,21.067,2689542,True,
push_up/good/diagonal/subject_007_push_up_good_diagonal.mp4,subject_007_push_up_good_diagonal.mp4,007,good,diagonal,validation,1440,810,15.0,374,24.933,3663125,True,
push_up/good/diagonal/subject_008_push_up_good_diagonal.mp4,subject_008_push_up_good_diagonal.mp4,008,good,diagonal,train,1440,810,15.0,263,17.533,2384366,True,
push_up/good/diagonal/subject_009_push_up_good_diagonal.mp4,subject_009_push_up_good_diagonal.mp4,009,good,diagonal,train,960,540,15.0,249,16.6,1121264,True,
push_up/good/diagonal/subject_010_push_up_good_diagonal.mp4,subject_010_push_up_good_diagonal.mp4,010,good,diagonal,test,636,358,15.0,460,30.667,840359,True,
push_up/good/diagonal/subject_011_push_up_good_diagonal.mp4,subject_011_push_up_good_diagonal.mp4,011,good,diagonal,train,1440,810,15.0,212,14.133,2024852,True,
push_up/good/diagonal/subject_012_push_up_good_diagonal.mp4,subject_012_push_up_good_diagonal.mp4,012,good,diagonal,train,1440,810,15.0,368,24.533,4042343,True,
push_up/good/diagonal/subject_013_push_up_good_diagonal.mp4,subject_013_push_up_good_diagonal.mp4,013,good,diagonal,train,960,540,15.0,453,30.2,2684547,True,
push_up/good/diagonal/subject_014_push_up_good_diagonal.mp4,subject_014_push_up_good_diagonal.mp4,014,good,diagonal,validation,960,540,15.0,339,22.6,1642336,True,
push_up/good/diagonal/subject_015_push_up_good_diagonal.mp4,subject_015_push_up_good_diagonal.mp4,015,good,diagonal,train,960,540,15.0,481,32.067,2514603,True,
push_up/good/diagonal/subject_016_push_up_good_diagonal.mp4,subject_016_push_up_good_diagonal.mp4,016,good,diagonal,test,960,540,15.0,262,17.467,1703295,True,
push_up/good/diagonal/subject_017_push_up_good_diagonal.mp4,subject_017_push_up_good_diagonal.mp4,017,good,diagonal,train,810,1440,15.0,198,13.2,1655192,True,
push_up/good/diagonal/subject_018_push_up_good_diagonal.mp4,subject_018_push_up_good_diagonal.mp4,018,good,diagonal,train,810,1440,15.0,230,15.333,2116023,True,
push_up/good/diagonal/subject_019_push_up_good_diagonal.mp4,subject_019_push_up_good_diagonal.mp4,019,good,diagonal,validation,358,636,15.0,106,7.067,195967,True,
push_up/good/diagonal/subject_020_push_up_good_diagonal.mp4,subject_020_push_up_good_diagonal.mp4,020,good,diagonal,train,810,1440,15.0,231,15.4,2003147,True,
push_up/good/diagonal/subject_021_push_up_good_diagonal.mp4,subject_021_push_up_good_diagonal.mp4,021,good,diagonal,train,810,1440,15.0,211,14.067,1919017,True,
push_up/good/diagonal/subject_022_push_up_good_diagonal.mp4,subject_022_push_up_good_diagonal.mp4,022,good,diagonal,train,540,960,15.0,266,17.733,1015060,True,
push_up/good/diagonal/subject_023_push_up_good_diagonal.mp4,subject_023_push_up_good_diagonal.mp4,023,good,diagonal,test,540,960,15.0,291,19.4,820623,True,
push_up/good/diagonal/subject_024_push_up_good_diagonal.mp4,subject_024_push_up_good_diagonal.mp4,024,good,diagonal,test,358,636,15.0,262,17.467,293185,True,
push_up/bad/front/subject_001_push_up_bad_front.mp4,subject_001_push_up_bad_front.mp4,001,bad,front,train,810,1440,15.0,470,31.333,2855556,True,
push_up/bad/front/subject_002_push_up_bad_front.mp4,subject_002_push_up_bad_front.mp4,002,bad,front,train,810,1440,15.0,466,31.067,2518247,True,
push_up/bad/front/subject_003_push_up_bad_front.mp4,subject_003_push_up_bad_front.mp4,003,bad,front,validation,810,1440,15.0,439,29.267,2476979,True,
push_up/bad/front/subject_004_push_up_bad_front.mp4,subject_004_push_up_bad_front.mp4,004,bad,front,train,810,1440,15.0,412,27.467,2126945,True,
push_up/bad/front/subject_005_push_up_bad_front.mp4,subject_005_push_up_bad_front.mp4,005,bad,front,train,810,1440,15.0,284,18.933,2018022,True,
push_up/bad/front/subject_006_push_up_bad_front.mp4,subject_006_push_up_bad_front.mp4,006,bad,front,train,810,1440,15.0,281,18.733,2172712,True,
push_up/bad/front/subject_007_push_up_bad_front.mp4,subject_007_push_up_bad_front.mp4,007,bad,front,validation,810,1440,15.0,298,19.867,2639314,True,
push_up/bad/front/subject_008_push_up_bad_front.mp4,subject_008_push_up_bad_front.mp4,008,bad,front,train,810,1440,15.0,319,21.267,2443167,True,
push_up/bad/front/subject_009_push_up_bad_front.mp4,subject_009_push_up_bad_front.mp4,009,bad,front,train,810,1440,15.0,244,16.267,1814497,True,
push_up/bad/front/subject_010_push_up_bad_front.mp4,subject_010_push_up_bad_front.mp4,010,bad,front,test,810,1440,15.0,316,21.067,2257381,True,
push_up/bad/front/subject_011_push_up_bad_front.mp4,subject_011_push_up_bad_front.mp4,011,bad,front,train,810,1440,15.0,323,21.533,2766564,True,
push_up/bad/front/subject_012_push_up_bad_front.mp4,subject_012_push_up_bad_front.mp4,012,bad,front,train,810,1440,15.0,386,25.733,3623912,True,
push_up/bad/front/subject_013_push_up_bad_front.mp4,subject_013_push_up_bad_front.mp4,013,bad,front,train,810,1440,15.0,455,30.333,4004130,True,
push_up/bad/front/subject_014_push_up_bad_front.mp4,subject_014_push_up_bad_front.mp4,014,bad,front,validation,810,1440,15.0,304,20.267,2223966,True,
push_up/bad/front/subject_015_push_up_bad_front.mp4,subject_015_push_up_bad_front.mp4,015,bad,front,train,810,1440,15.0,202,13.467,1636035,True,
push_up/bad/front/subject_016_push_up_bad_front.mp4,subject_016_push_up_bad_front.mp4,016,bad,front,test,810,1440,15.0,462,30.8,3542898,True,
push_up/bad/front/subject_017_push_up_bad_front.mp4,subject_017_push_up_bad_front.mp4,017,bad,front,train,810,1440,15.0,181,12.067,1400891,True,
push_up/bad/front/subject_018_push_up_bad_front.mp4,subject_018_push_up_bad_front.mp4,018,bad,front,train,358,636,15.0,243,16.2,552678,True,
push_up/bad/front/subject_019_push_up_bad_front.mp4,subject_019_push_up_bad_front.mp4,019,bad,front,validation,358,636,15.0,41,2.733,92598,True,
push_up/bad/front/subject_020_push_up_bad_front.mp4,subject_020_push_up_bad_front.mp4,020,bad,front,train,810,1440,15.0,278,18.533,2055339,True,
push_up/bad/front/subject_021_push_up_bad_front.mp4,subject_021_push_up_bad_front.mp4,021,bad,front,train,810,1440,15.0,211,14.067,1928031,True,
push_up/bad/front/subject_022_push_up_bad_front.mp4,subject_022_push_up_bad_front.mp4,022,bad,front,train,810,1440,15.0,265,17.667,1699648,True,
push_up/bad/front/subject_023_push_up_bad_front.mp4,subject_023_push_up_bad_front.mp4,023,bad,front,test,540,960,15.0,250,16.667,758619,True,
push_up/bad/front/subject_024_push_up_bad_front.mp4,subject_024_push_up_bad_front.mp4,024,bad,front,test,1620,2880,15.0,311,20.733,4893307,True,
push_up/bad/side/subject_001_push_up_bad_side.mp4,subject_001_push_up_bad_side.mp4,001,bad,side,train,1440,810,15.0,378,25.2,3990443,True,
push_up/bad/side/subject_002_push_up_bad_side.mp4,subject_002_push_up_bad_side.mp4,002,bad,side,train,1440,810,15.0,476,31.733,4276123,True,
push_up/bad/side/subject_003_push_up_bad_side.mp4,subject_003_push_up_bad_side.mp4,003,bad,side,validation,1440,810,15.0,458,30.533,5957552,True,
push_up/bad/side/subject_004_push_up_bad_side.mp4,subject_004_push_up_bad_side.mp4,004,bad,side,train,1440,810,15.0,412,27.467,3359337,True,
push_up/bad/side/subject_005_push_up_bad_side.mp4,subject_005_push_up_bad_side.mp4,005,bad,side,train,1440,810,15.0,299,19.933,2692257,True,
push_up/bad/side/subject_006_push_up_bad_side.mp4,subject_006_push_up_bad_side.mp4,006,bad,side,train,1440,810,15.0,272,18.133,2678693,True,
push_up/bad/side/subject_007_push_up_bad_side.mp4,subject_007_push_up_bad_side.mp4,007,bad,side,validation,1440,810,15.0,281,18.733,4189626,True,
push_up/bad/side/subject_008_push_up_bad_side.mp4,subject_008_push_up_bad_side.mp4,008,bad,side,train,1440,810,15.0,256,17.067,2949310,True,
push_up/bad/side/subject_009_push_up_bad_side.mp4,subject_009_push_up_bad_side.mp4,009,bad,side,train,1440,810,15.0,238,15.867,2751077,True,
push_up/bad/side/subject_010_push_up_bad_side.mp4,subject_010_push_up_bad_side.mp4,010,bad,side,test,1440,810,15.0,322,21.467,2820837,True,
push_up/bad/side/subject_011_push_up_bad_side.mp4,subject_011_push_up_bad_side.mp4,011,bad,side,train,960,540,15.0,299,19.933,1549095,True,
push_up/bad/side/subject_012_push_up_bad_side.mp4,subject_012_push_up_bad_side.mp4,012,bad,side,train,960,540,15.0,374,24.933,2254597,True,
push_up/bad/side/subject_013_push_up_bad_side.mp4,subject_013_push_up_bad_side.mp4,013,bad,side,train,1440,810,15.0,458,30.533,6291951,True,
push_up/bad/side/subject_014_push_up_bad_side.mp4,subject_014_push_up_bad_side.mp4,014,bad,side,validation,1440,810,15.0,253,16.867,2689644,True,
push_up/bad/side/subject_015_push_up_bad_side.mp4,subject_015_push_up_bad_side.mp4,015,bad,side,train,1440,810,15.0,205,13.667,2248105,True,
push_up/bad/side/subject_016_push_up_bad_side.mp4,subject_016_push_up_bad_side.mp4,016,bad,side,test,1440,810,15.0,405,27.0,4326261,True,
push_up/bad/side/subject_017_push_up_bad_side.mp4,subject_017_push_up_bad_side.mp4,017,bad,side,train,358,636,15.0,227,15.133,395699,True,
push_up/bad/side/subject_018_push_up_bad_side.mp4,subject_018_push_up_bad_side.mp4,018,bad,side,train,810,1440,15.0,235,15.667,1725824,True,
push_up/bad/side/subject_019_push_up_bad_side.mp4,subject_019_push_up_bad_side.mp4,019,bad,side,validation,810,1440,15.0,96,6.4,790971,True,
push_up/bad/side/subject_020_push_up_bad_side.mp4,subject_020_push_up_bad_side.mp4,020,bad,side,train,1440,810,15.0,253,16.867,2689644,True,
push_up/bad/side/subject_021_push_up_bad_side.mp4,subject_021_push_up_bad_side.mp4,021,bad,side,train,1440,810,15.0,231,15.4,2097415,True,
push_up/bad/side/subject_022_push_up_bad_side.mp4,subject_022_push_up_bad_side.mp4,022,bad,side,train,1440,810,15.0,251,16.733,3330313,True,
push_up/bad/side/subject_023_push_up_bad_side.mp4,subject_023_push_up_bad_side.mp4,023,bad,side,test,636,360,15.0,207,13.8,434774,True,
push_up/bad/side/subject_024_push_up_bad_side.mp4,subject_024_push_up_bad_side.mp4,024,bad,side,test,636,360,15.0,319,21.267,500192,True,
push_up/bad/diagonal/subject_001_push_up_bad_diagonal.mp4,subject_001_push_up_bad_diagonal.mp4,001,bad,diagonal,train,1440,810,15.0,436,29.067,5207538,True,
push_up/bad/diagonal/subject_002_push_up_bad_diagonal.mp4,subject_002_push_up_bad_diagonal.mp4,002,bad,diagonal,train,1440,810,15.0,477,31.8,4907039,True,
push_up/bad/diagonal/subject_003_push_up_bad_diagonal.mp4,subject_003_push_up_bad_diagonal.mp4,003,bad,diagonal,validation,624,348,15.0,457,30.467,719357,True,
push_up/bad/diagonal/subject_004_push_up_bad_diagonal.mp4,subject_004_push_up_bad_diagonal.mp4,004,bad,diagonal,train,810,1440,15.0,427,28.467,3552896,True,
push_up/bad/diagonal/subject_005_push_up_bad_diagonal.mp4,subject_005_push_up_bad_diagonal.mp4,005,bad,diagonal,train,810,1440,15.0,294,19.6,2873013,True,
push_up/bad/diagonal/subject_006_push_up_bad_diagonal.mp4,subject_006_push_up_bad_diagonal.mp4,006,bad,diagonal,train,810,1440,15.0,277,18.467,2461062,True,
push_up/bad/diagonal/subject_007_push_up_bad_diagonal.mp4,subject_007_push_up_bad_diagonal.mp4,007,bad,diagonal,validation,1440,810,15.0,311,20.733,2812169,True,
push_up/bad/diagonal/subject_008_push_up_bad_diagonal.mp4,subject_008_push_up_bad_diagonal.mp4,008,bad,diagonal,train,960,540,15.0,331,22.067,1831125,True,
push_up/bad/diagonal/subject_009_push_up_bad_diagonal.mp4,subject_009_push_up_bad_diagonal.mp4,009,bad,diagonal,train,960,540,15.0,261,17.4,1227596,True,
push_up/bad/diagonal/subject_010_push_up_bad_diagonal.mp4,subject_010_push_up_bad_diagonal.mp4,010,bad,diagonal,test,636,358,15.0,315,21.0,715666,True,
push_up/bad/diagonal/subject_011_push_up_bad_diagonal.mp4,subject_011_push_up_bad_diagonal.mp4,011,bad,diagonal,train,1440,810,15.0,312,20.8,2788380,True,
push_up/bad/diagonal/subject_012_push_up_bad_diagonal.mp4,subject_012_push_up_bad_diagonal.mp4,012,bad,diagonal,train,1440,810,15.0,404,26.933,4541920,True,
push_up/bad/diagonal/subject_013_push_up_bad_diagonal.mp4,subject_013_push_up_bad_diagonal.mp4,013,bad,diagonal,train,960,540,15.0,441,29.4,2255127,True,
push_up/bad/diagonal/subject_014_push_up_bad_diagonal.mp4,subject_014_push_up_bad_diagonal.mp4,014,bad,diagonal,validation,960,540,15.0,236,15.733,1199519,True,
push_up/bad/diagonal/subject_015_push_up_bad_diagonal.mp4,subject_015_push_up_bad_diagonal.mp4,015,bad,diagonal,train,960,540,15.0,221,14.733,1293845,True,
push_up/bad/diagonal/subject_016_push_up_bad_diagonal.mp4,subject_016_push_up_bad_diagonal.mp4,016,bad,diagonal,test,1440,810,15.0,415,27.667,3944374,True,
push_up/bad/diagonal/subject_017_push_up_bad_diagonal.mp4,subject_017_push_up_bad_diagonal.mp4,017,bad,diagonal,train,810,1440,15.0,162,10.8,1388427,True,
push_up/bad/diagonal/subject_018_push_up_bad_diagonal.mp4,subject_018_push_up_bad_diagonal.mp4,018,bad,diagonal,train,810,1440,15.0,201,13.4,1953463,True,
push_up/bad/diagonal/subject_019_push_up_bad_diagonal.mp4,subject_019_push_up_bad_diagonal.mp4,019,bad,diagonal,validation,358,636,15.0,69,4.6,127386,True,
push_up/bad/diagonal/subject_020_push_up_bad_diagonal.mp4,subject_020_push_up_bad_diagonal.mp4,020,bad,diagonal,train,810,1440,15.0,213,14.2,2133400,True,
push_up/bad/diagonal/subject_021_push_up_bad_diagonal.mp4,subject_021_push_up_bad_diagonal.mp4,021,bad,diagonal,train,810,1440,15.0,203,13.533,1425674,True,
push_up/bad/diagonal/subject_022_push_up_bad_diagonal.mp4,subject_022_push_up_bad_diagonal.mp4,022,bad,diagonal,train,540,960,15.0,237,15.8,901225,True,
push_up/bad/diagonal/subject_023_push_up_bad_diagonal.mp4,subject_023_push_up_bad_diagonal.mp4,023,bad,diagonal,test,540,960,15.0,202,13.467,576717,True,
push_up/bad/diagonal/subject_024_push_up_bad_diagonal.mp4,subject_024_push_up_bad_diagonal.mp4,024,bad,diagonal,test,358,636,15.0,318,21.2,281399,True,
